campany_scale_id,campany_scale_name
'1','資本金 1千万円未満'
'2','資本金 1千万円～3千万円未満'
'3','資本金 3千万円～5千万円未満'
'4','資本金 5千万円～1億円未満'
'5','資本金 1億円～3億円未満'
'6','資本金 3億円～10億円未満'
'7','資本金 10億円以上'
